Gene_symbol	Gene_chr	Gene_TSS	Peak_chr	Peak_start	Peak_end	Looping_prob	TFs(binding prob)
ABHD12	chr20	25390835	chr20	25273163	25274129	0.8595	MXI1 (0.91), MYCN (0.88), TFEB (0.82), ESR1 (0.82), 
ABHD2	chr15	89088455	chr15	89101520	89102508	0.9811	FOSL2 (0.89), NR1I3 (0.88), TCF7L2 (0.88), SMARCC1 (0.87), JUN (0.87), NR4A3 (0.86), TEAD1 (0.85), NR1I2 (0.84), JUNB (0.84), MTF1 (0.83), BACH1 (0.83), RXRA (0.82), 
ACKR3	chr2	236569824	chr2	236853219	236854190	0.9818	RARA (1.00), CREB3L1 (1.00), RORC (0.99), NR2C1 (0.99), CREB3L2 (0.98), NR4A1 (0.98), RORA (0.98), NR1I3 (0.98), TCF7L2 (0.98), NR4A3 (0.97), ESRRA (0.97), NR4A2 (0.96), ATOH1 (0.96), ESRRG (0.94), RORB (0.88), SNAI2 (0.88), MAF (0.85), 
ACOT11	chr1	54548227	chr1	54574948	54575892	0.9361	ZNF219 (0.99), NR4A2 (0.98), RARA (0.97), NR1I3 (0.95), KLF3 (0.92), 
ACSL1	chr4	184826114	chr4	184817550	184818412	0.9551	SMARCC1 (0.97), RARA (0.97), TCF7L2 (0.94), FOSB (0.93), JUNB (0.90), FOSL1 (0.89), PPARD (0.82), 
AFG3L2	chr18	12377227	chr18	12656786	12657550	0.857	
AGO2	chr8	140635633	chr8	140446298	140447265	0.9391	ESRRG (0.89), 
AKAP1	chr17	57085245	chr17	56911982	56912899	0.8836	OSR1 (1.00), RARA (1.00), NR4A1 (0.99), NR4A2 (0.98), ESRRG (0.98), HNF4G (0.95), NR2F2 (0.95), NR4A3 (0.93), HNF4A (0.92), GLI1 (0.89), RORB (0.84), ESR1 (0.81), NR6A1 (0.81), 
AKAP1	chr17	57085245	chr17	57096463	57097267	0.9123	ESR2 (0.91), RXRA (0.88), NR4A3 (0.86), NR3C1 (0.84), NR4A2 (0.83), PPARG (0.82), 
ANKH	chr5	14871778	chr5	14824328	14825219	0.8837	RARA (0.90), HNF4A (0.89), NR2F2 (0.89), TCF7L2 (0.89), HNF4G (0.88), NR4A3 (0.85), 
ANKRD28	chr3	15859814	chr3	15637217	15638152	0.809	SNAI2 (0.95), 
ANKRD28	chr3	15859814	chr3	15645770	15646673	0.8518	PPARG (0.88), NR4A2 (0.88), ATOH1 (0.88), 
ANKRD9	chr14	102509776	chr14	102442171	102443252	0.904	NR4A1 (1.00), MEIS1 (0.99), NR2E1 (0.98), RXRA (0.97), NR4A3 (0.94), PPARD (0.93), ESRRA (0.90), NR2C1 (0.88), RXRG (0.88), ESRRG (0.85), ZNF219 (0.85), NR2F1 (0.83), 
AP1G1	chr16	71808834	chr16	71707360	71708364	0.8695	JUN (0.95), BACH2 (0.93), GLIS1 (0.93), NR4A2 (0.92), TEAD1 (0.84), 
