Gene_symbol	Gene_chr	Gene_TSS	Peak_chr	Peak_start	Peak_end	Looping_prob	TFs(binding prob)

	chr20	25390835	chr20	25273163	25274129	0.958042	MXI1,(0.981018981018981),MYCN,(0.973026973026973),ESR1,(0.955044955044955),TFEB,(0.953046953046953),NFE2,(0.932067932067932),PGR,(0.903096903096903),
	chr15	89088455	chr15	89101520	89102508	0.996004	TCF7L2,(0.987012987012987),BACH1,(0.985014985014985),FOSL2,(0.978021978021978),SMARCC1,(0.978021978021978),JUN,(0.977022977022977),TEAD1,(0.971028971028971),NR4A3,(0.97002997002997),NR1I3,(0.97002997002997),MTF1,(0.967032967032967),RXRA,(0.962037962037962),JUNB,(0.96003996003996),NR1I2,(0.952047952047952),PPARD,(0.944055944055944),FOSB,(0.924075924075924),RORC,(0.924075924075924),NR2F6,(0.909090909090909),JDP2,(0.899100899100899),NR2C1,(0.886113886113886),RXRB,(0.832167832167832),JUND,(0.825174825174825),ATOH1,(0.818181818181818),NR2F1,(0.802197802197802),
	chr2	236569824	chr2	236853219	236854190	0.992008	CREB3L2,(1),RARA,(1),RORA,(0.999000999000999),TCF7L2,(0.999000999000999),CREB3L1,(0.998001998001998),NR2C1,(0.998001998001998),NR4A1,(0.998001998001998),RORC,(0.998001998001998),NR4A2,(0.998001998001998),ESRRA,(0.997002997002997),NR4A3,(0.996003996003996),NR1I3,(0.996003996003996),ATOH1,(0.996003996003996),ESRRG,(0.995004995004995),SNAI2,(0.978021978021978),RORB,(0.978021978021978),MAF,(0.95004995004995),NR2F1,(0.923076923076923),NR1I2,(0.809190809190809),
	chr1	54548227	chr1	54391369	54392324	0.956044	ZKSCAN3,(0.999000999000999),NR4A2,(0.998001998001998),TEAD1,(0.997002997002997),ATOH1,(0.997002997002997),ZKSCAN4,(0.988011988011988),TGIF2,(0.98001998001998),NR1H2,(0.961038961038961),MYOD1,(0.898101898101898),
	chr1	54548227	chr1	54574948	54575892	0.98002	ZNF219,(0.999000999000999),NR4A2,(0.999000999000999),RARA,(0.997002997002997),KLF3,(0.995004995004995),NR1I3,(0.989010989010989),PPARD,(0.939060939060939),NR1I2,(0.916083916083916),
	chr4	184826114	chr4	184817550	184818412	0.986014	RARA,(0.997002997002997),TCF7L2,(0.993006993006993),FOSB,(0.99000999000999),SMARCC1,(0.99000999000999),JUNB,(0.975024975024975),FOSL1,(0.97002997002997),PPARD,(0.956043956043956),
	chr8	140635633	chr8	140446298	140447265	0.98002	ESRRG,(0.98001998001998),ESRRA,(0.923076923076923),TFEB,(0.912087912087912),ESRRB,(0.906093906093906),NR5A2,(0.898101898101898),MITF,(0.87012987012987),
	chr17	57085245	chr17	56911982	56912899	0.979021	OSR1,(1),NR4A1,(1),RARA,(1),NR4A2,(1),ESRRG,(1),HNF4G,(0.997002997002997),NR4A3,(0.992007992007992),NR2F2,(0.992007992007992),HNF4A,(0.986013986013986),GLI1,(0.971028971028971),ESR1,(0.954045954045954),RORB,(0.951048951048951),NR6A1,(0.947052947052947),GLIS1,(0.931068931068931),
	chr17	57085245	chr17	57096463	57097267	0.974026	ESR2,(0.987012987012987),RXRA,(0.986013986013986),NR4A3,(0.964035964035964),NR4A2,(0.959040959040959),NR3C1,(0.954045954045954),PPARG,(0.95004995004995),SNAI2,(0.896103896103896),RORA,(0.896103896103896),NR2F6,(0.889110889110889),ESRRA,(0.839160839160839),
	chr5	14871778	chr5	14824328	14825219	0.977023	RARA,(0.987012987012987),HNF4A,(0.986013986013986),TCF7L2,(0.986013986013986),NR2F2,(0.981018981018981),HNF4G,(0.966033966033966),NR4A3,(0.96003996003996),MEIS1,(0.835164835164835),
	chr3	15859814	chr3	15645770	15646673	0.97003	PPARG,(0.981018981018981),NR4A2,(0.98001998001998),ATOH1,(0.968031968031968),JDP2,(0.868131868131868),
	chr14	102509776	chr14	102442171	102443252	0.98002	MEIS1,(0.999000999000999),NR4A1,(0.999000999000999),RXRA,(0.999000999000999),NR2E1,(0.997002997002997),NR4A3,(0.995004995004995),PPARD,(0.993006993006993),NR2C1,(0.978021978021978),ESRRA,(0.976023976023976),RXRG,(0.973026973026973),ESRRG,(0.967032967032967),NR2F1,(0.964035964035964),NR4A2,(0.963036963036963),ZNF219,(0.961038961038961),HNF4G,(0.899100899100899),NR5A1,(0.878121878121878),
	chr2	152717647	chr2	152432109	152433057	0.952048	NR4A2,(0.958041958041958),RARA,(0.952047952047952),NR4A1,(0.936063936063936),RXRA,(0.917082917082917),PPARD,(0.914085914085914),ESRRG,(0.912087912087912),NR4A3,(0.911088911088911),KLF3,(0.905094905094905),ESRRA,(0.858141858141858),KLF8,(0.852147852147852),NR2C1,(0.835164835164835),FOSB,(0.823176823176823),NR2F6,(0.817182817182817),PPARA,(0.8001998001998),
	chr17	68259169	chr17	68291173	68292252	0.974026	MYC,(0.985014985014985),MITF,(0.981018981018981),MXI1,(0.978021978021978),SMARCC1,(0.955044955044955),CREB3L2,(0.938061938061938),MYCN,(0.902097902097902),MAF,(0.847152847152847),KLF8,(0.821178821178821),
	chr1	23484179	chr1	23372041	23372974	0.961039	NR2E1,(1),RORB,(1),GLI1,(0.999000999000999),PPARA,(0.996003996003996),TP73,(0.993006993006993),NR1I3,(0.991008991008991),NR3C1,(0.961038961038961),PPARD,(0.959040959040959),RORC,(0.904095904095904),ZNF219,(0.857142857142857),NR5A2,(0.841158841158841),
	chr1	23484179	chr1	23405453	23406385	0.967033	RORA,(1),RORC,(1),ESRRG,(1),NR4A2,(0.998001998001998),PPARA,(0.998001998001998),ESRRA,(0.997002997002997),PPARD,(0.995004995004995),ESRRB,(0.995004995004995),NR4A1,(0.957042957042957),RORB,(0.889110889110889),TP73,(0.858141858141858),
	chr14	93976570	chr14	93927254	93928192	0.987013	RORC,(0.999000999000999),NFE2,(0.994005994005994),KLF3,(0.981018981018981),KLF8,(0.954045954045954),NR4A1,(0.873126873126873),NR4A3,(0.857142857142857),
	chr22	29838274	chr22	29768069	29768833	0.956044	RARA,(0.955044955044955),TEAD1,(0.945054945054945),NR2C1,(0.813186813186813),
	chr22	29838274	chr22	29830249	29831173	0.958042	ZIC3,(0.979020979020979),PPARA,(0.976023976023976),GLIS1,(0.946053946053946),BACH2,(0.917082917082917),NR1I3,(0.917082917082917),NR4A2,(0.876123876123876),BACH1,(0.843156843156843),GLI1,(0.837162837162837),
	chr10	121928801	chr10	121988222	121989232	0.96004	BACH1,(0.999000999000999),NR4A1,(0.998001998001998),MITF,(0.997002997002997),JDP2,(0.994005994005994),FOSL1,(0.994005994005994),ZNF219,(0.994005994005994),ESRRB,(0.994005994005994),TFEB,(0.992007992007992),RARB,(0.988011988011988),ESRRA,(0.983016983016983),TEAD1,(0.981018981018981),JUNB,(0.978021978021978),JUN,(0.961038961038961),BACH2,(0.951048951048951),SMARCC1,(0.948051948051948),USF1,(0.942057942057942),SNAI2,(0.93006993006993),PPARG,(0.921078921078921),NR1I3,(0.898101898101898),NR1I2,(0.885114885114885),MYOD1,(0.842157842157842),FOSL2,(0.823176823176823),JUND,(0.821178821178821),
	chr12	56645984	chr12	55680989	55681943	0.951049	NR2E1,(1),PPARG,(1),ESR2,(0.998001998001998),FOSL1,(0.996003996003996),SMARCC1,(0.996003996003996),FOSB,(0.995004995004995),BACH1,(0.993006993006993),FOSL2,(0.988011988011988),JUN,(0.987012987012987),NR1I2,(0.985014985014985),NR3C1,(0.97002997002997),HLTF,(0.97002997002997),JDP2,(0.965034965034965),JUNB,(0.961038961038961),MAF,(0.911088911088911),BACH2,(0.873126873126873),
	chr20	59032335	chr20	59006731	59007691	0.985015	RXRA,(0.939060939060939),PPARD,(0.924075924075924),TEAD1,(0.915084915084915),RARA,(0.907092907092907),NR4A1,(0.896103896103896),OSR1,(0.866133866133866),HNF4G,(0.803196803196803),
	chr1	235504452	chr1	235069713	235070697	0.974026	NR1H4,(1),NR1I3,(0.997002997002997),NR2F2,(0.995004995004995),TCF7L2,(0.994005994005994),PPARG,(0.993006993006993),CREB3L2,(0.992007992007992),RORA,(0.973026973026973),MXI1,(0.967032967032967),HNF4A,(0.947052947052947),ESRRG,(0.93006993006993),ATOH1,(0.916083916083916),PGR,(0.909090909090909),NR1H3,(0.906093906093906),ESRRA,(0.863136863136863),RORC,(0.855144855144855),MYC,(0.835164835164835),NR1I2,(0.817182817182817),
