Gene_symbol	Gene_chr	Gene_TSS	Peak_chr	Peak_start	Peak_end	Looping_prob	TFs(binding prob)
ABHD12	chr20	25390835	chr20	25273163	25274129	0.8486	MYCN (0.90), MXI1 (0.88), ESR1 (0.82), TFEB (0.81), 
ABHD2	chr15	89088455	chr15	89101520	89102508	0.961	TCF7L2 (0.90), TEAD1 (0.86), NR4A3 (0.86), SMARCC1 (0.85), BACH1 (0.84), FOSL2 (0.83), RXRA (0.83), JUN (0.83), NR1I3 (0.82), PPARD (0.81), 
ACKR3	chr2	236569824	chr2	236853219	236854190	0.9701	RARA (1.00), RORC (0.99), TCF7L2 (0.99), RORA (0.97), NR4A1 (0.97), CREB3L2 (0.97), NR4A3 (0.97), NR2C1 (0.96), CREB3L1 (0.96), NR4A2 (0.96), ESRRA (0.95), ESRRG (0.94), ATOH1 (0.94), NR1I3 (0.89), RORB (0.84), MAF (0.81), 
ACOT11	chr1	54548227	chr1	54391369	54392324	0.8409	ZKSCAN3 (0.99), NR4A2 (0.97), TEAD1 (0.97), ATOH1 (0.96), ZKSCAN4 (0.88), NR1H2 (0.82), TGIF2 (0.81), 
ACOT11	chr1	54548227	chr1	54574948	54575892	0.9081	ZNF219 (0.99), NR4A2 (0.98), RARA (0.94), KLF3 (0.93), NR1I3 (0.86), PPARD (0.84), 
ACSL1	chr4	184826114	chr4	184817550	184818412	0.914	TCF7L2 (0.95), SMARCC1 (0.95), RARA (0.94), FOSB (0.93), PPARD (0.85), JUNB (0.83), FOSL1 (0.81), 
ACSL1	chr4	184826114	chr4	185133980	185134950	0.9145	NR2F6 (0.96), RORA (0.89), NR2C1 (0.88), MEIS1 (0.80), 
AFG3L2	chr18	12377227	chr18	12656786	12657550	0.8427	
AGO2	chr8	140635633	chr8	140237980	140238940	0.814	NR4A2 (0.86), TCF7L2 (0.84), FOSL1 (0.83), NR4A3 (0.81), TGIF2 (0.80), 
AGO2	chr8	140635633	chr8	140446298	140447265	0.9134	ESRRG (0.89), 
AKAP1	chr17	57085245	chr17	56911982	56912899	0.8765	OSR1 (0.99), RARA (0.99), NR4A1 (0.99), ESRRG (0.98), NR4A2 (0.98), HNF4G (0.95), NR4A3 (0.93), HNF4A (0.88), NR2F2 (0.84), GLIS1 (0.82), NR6A1 (0.81), ESR1 (0.80), 
AKAP1	chr17	57085245	chr17	57096463	57097267	0.8931	ESR2 (0.90), RXRA (0.89), NR4A3 (0.85), NR3C1 (0.83), NR4A2 (0.82), 
AMOT	chr0	112840831	chr0	112840298	112841109	0.9736	TFCP2 (0.88), 
ANKH	chr5	14871778	chr5	14824328	14825219	0.876	TCF7L2 (0.90), HNF4G (0.87), RARA (0.86), HNF4A (0.86), NR4A3 (0.85), NR2F2 (0.81), 
ANKRD28	chr3	15859814	chr3	15645770	15646673	0.8529	NR4A2 (0.89), ATOH1 (0.85), 
ANKRD9	chr14	102509776	chr14	102442171	102443252	0.9005	NR4A1 (0.99), MEIS1 (0.97), RXRA (0.97), PPARD (0.95), NR4A3 (0.94), NR2E1 (0.91), ESRRA (0.87), ESRRG (0.86), RXRG (0.86), ZNF219 (0.85), NR2C1 (0.83), NR2F1 (0.83), 
AP1G1	chr16	71808834	chr16	71707360	71708364	0.8581	GLIS1 (0.93), NR4A2 (0.92), JUN (0.90), TEAD1 (0.85), BACH2 (0.82), KLF8 (0.81), 
ARHGAP12	chr10	31928876	chr10	31774703	31775597	0.8896	ZIC1 (0.84), 
ARHGEF10L	chr1	17539697	chr1	17569325	17570285	0.8312	SMARCC1 (1.00), TEAD1 (1.00), BACH1 (1.00), FOSL2 (1.00), FOSB (1.00), FOSL1 (0.99), ATOH1 (0.97), BACH2 (0.95), JUN (0.91), 
