Cell_type	Gene_symbol	Gene_chr	Gene_TSS	Gene_Case_pct	GGene_Control_pct	ene_sc_Log2FC	Gene_sc_p_val_adj	Gene_bulk_Log2FC	Gene_bulk_pval	Peak_chr	Peak_start	Peak_end	Peak_sc_log2FC	Peak_sc_p_val_adj	Peak_bulk_Log2FC	Peak_bulk_pval	ATAC_RNA_Bayesian_prob	TFs
B naive	HSP90AB1	6	44246165	0.871000	0.767000	0.177975	1.19159E-09	0.269809	0.000583533	6	43813118	43813618	1.696863	1.20017E-05	1.825021	0.0351378	0.997481	TFAP4(1.00), ZNF683(0.98), BCL11A(0.98), LMO2(0.92), KLF5(0.92), STAT1(0.86), MTF1(0.83), 
B naive	UBE2D3	4	102868893	0.660000	0.540000	0.161343	2.59179E-09	0.310647	0.0163452	4	102615999	102616499	2.078582	0.0123182	1.339430	0.0126539	0.961573	NFATC4(1.00), BCL11B(0.98), BACH1(0.95), BCL11A(0.93), STAT4(0.93), KLF12(0.90), HIVEP2(0.83), 
CD4 Naive	ARHGAP30	1	161069891	0.161000	0.258000	-0.104277	2.20839E-68	-0.975035	7.69765E-06	1	160652148	160652648	-1.827723	0.00198181	-2.140711	0.002934	0.999784	STAT6(1.00), ZNF148(1.00), NFE2(0.81), 
CD4 Naive	ARHGAP30	1	161069891	0.161000	0.258000	-0.104277	2.20839E-68	-0.975035	7.69765E-06	1	160797889	160798389	-0.704216	0.00111567	-1.526871	0.00539366	0.9991	PURA(0.98), ETS2(0.95), ZNF148(0.95), 
CD4 Naive	ARHGAP30	1	161069891	0.161000	0.258000	-0.104277	2.20839E-68	-0.975035	7.69765E-06	1	161306072	161306572	-0.459961	2.79323E-05	-0.564958	0.00438044	0.976207	KLF6(1.00), KLF15(1.00), KLF16(0.99), KLF11(0.99), SP1(0.95), SP6(0.90), 
CD4 Naive	ARPC2	2	218217188	0.844000	0.752000	0.104760	3.37027E-19	-0.255741	0.00150778	2	217851116	217851616	-0.548639	0.00352786	-0.820391	0.0386755	0.953876	
CD4 Naive	ARPC5	1	183635783	0.287000	0.455000	-0.161133	1.82709E-123	-1.286848	1.0274E-07	1	183218964	183219464	-1.560059	2.57884E-15	-2.069141	0.000147035	0.992111	STAT6(1.00), SP2(0.99), ZNF281(0.89), 
CD4 Naive	ARPC5	1	183635783	0.287000	0.455000	-0.161133	1.82709E-123	-1.286848	1.0274E-07	1	183633642	183634142	-0.551479	0.00669413	-0.546950	0.0443822	0.994176	BCL6(0.94), 
CD4 Naive	ARRDC3	5	91383317	0.173000	0.309000	-0.180588	3.36365E-129	-0.985149	3.62851E-05	5	91126845	91127345	-0.583011	0.000562118	-0.619113	0.00789264	0.988938	
CD4 Naive	ATF4	22	39520558	0.304000	0.263000	0.130445	1.05689E-23	0.559643	4.65746E-06	22	39123852	39124352	-1.242057	0.00293449	-1.240780	0.00270348	0.978607	EGR1(0.99), RELB(0.98), KLF16(0.98), BCL6(0.98), KLF5(0.97), SP1(0.96), KLF4(0.94), ZNF148(0.86), TFAP4(0.85), 
CD4 Naive	ATF4	22	39520558	0.304000	0.263000	0.130445	1.05689E-23	0.559643	4.65746E-06	22	39240065	39240565	-0.812446	0.00768463	-1.369754	0.0189902	0.993866	IRF2(1.00), KLF6(1.00), SP1(0.97), SMAD2(0.95), RELB(0.94), SP4(0.92), 
CD4 Naive	ATF4	22	39520558	0.304000	0.263000	0.130445	1.05689E-23	0.559643	4.65746E-06	22	39478451	39478951	1.112606	1.61688E-06	0.890164	0.00495028	0.998015	STAT6(0.99), NFE2(0.89), KLF1(0.87), 
CD4 Naive	ATM	11	108222831	0.457000	0.642000	-0.258676	3.70955E-162	-0.840660	2.12461E-07	11	108069924	108070424	-0.831073	9.51492E-05	-0.780890	0.0167549	0.998936	
CD4 Naive	B2M	15	44711516	0.994000	1.000000	-0.153973	1.44805E-214	-0.280473	0.000395876	15	44683185	44683685	2.878972	0.0496875	2.016836	0.0118212	0.961476	EGR1(0.96), SP6(0.91), TFAP4(0.88), 
CD4 Naive	BRD2	6	32968593	0.264000	0.194000	0.180598	2.18435E-62	0.476575	0.00311676	6	33088089	33088589	-0.773548	6.22791E-10	-0.863365	0.00174276	0.95414	
CD4 Naive	BTN3A2	6	26365158	0.161000	0.291000	-0.174900	1.87324E-126	-0.814394	0.000484442	6	26157695	26158195	0.770758	0.0112101	0.648240	0.0046188	0.999712	TFAP4(1.00), RELB(0.99), PURA(0.96), SP1(0.95), PATZ1(0.94), KLF16(0.90), 
CD4 Naive	BTN3A2	6	26365158	0.161000	0.291000	-0.174900	1.87324E-126	-0.814394	0.000484442	6	26552688	26553188	-1.154421	2.26285E-07	-0.959411	0.0010006	0.994803	
CD4 Naive	BUB3	10	123154243	0.192000	0.320000	-0.133393	2.67232E-103	-1.057205	8.11256E-10	10	123275926	123276426	-2.725548	0.0308483	-1.718628	0.0301344	0.981317	KLF6(1.00), KLF16(1.00), IRF2(1.00), SP1(1.00), STAT6(1.00), KLF4(0.98), ZNF148(0.97), SP2(0.97), PURA(0.88), 
CD4 Naive	C1orf56	1	151047750	0.252000	0.392000	-0.244399	8.33271E-122	-0.981478	0.00692477	1	150611517	150612017	1.053094	5.52108E-09	0.788056	0.000465775	0.999449	NFE2(0.99), PURA(0.99), ZNF148(0.91), 
CD4 Naive	CAP1	1	40040064	0.219000	0.360000	-0.173212	5.69009E-122	-0.812637	2.87582E-06	1	40381443	40381943	-1.472247	3.54877E-05	-1.571001	0.006497	0.999732	STAT6(0.88), BCL6(0.85), 
CD4 Naive	CCDC66	3	56557155	0.201000	0.303000	-0.102241	5.33133E-64	-0.843030	9.17587E-07	3	56914252	56914752	-0.861867	7.94829E-05	-0.457389	0.0388338	0.985256	
CD4 Naive	CCDC66	3	56557155	0.201000	0.303000	-0.102241	5.33133E-64	-0.843030	9.17587E-07	3	56923760	56924260	-0.663172	0.0360412	-1.121242	0.0414138	0.96798	RELA(1.00), STAT6(1.00), 
CD4 Naive	CD247	1	167518610	0.415000	0.529000	-0.104969	5.03352E-42	-0.780753	8.11542E-05	1	167090537	167091037	-1.350336	8.79174E-12	-1.537530	0.016034	0.986668	STAT6(1.00), 
CD4 Naive	CD247	1	167518610	0.415000	0.529000	-0.104969	5.03352E-42	-0.780753	8.11542E-05	1	167500383	167500883	1.672371	0.00892383	1.591574	0.000252018	0.989614	KLF16(0.96), 
CD4 Naive	CD3G	11	118344343	0.663000	0.767000	-0.133018	1.17113E-44	-0.597179	4.76287E-05	11	118087858	118088358	0.830400	0.0251449	0.771720	0.00275914	0.959858	
CD4 Naive	CD3G	11	118344343	0.663000	0.767000	-0.133018	1.17113E-44	-0.597179	4.76287E-05	11	118345557	118346057	0.634100	0.00106786	1.285955	0.000501387	1	STAT6(1.00), TCF12(1.00), SNAI1(0.96), KLF1(0.92), CTCF(0.85), 
CD4 Naive	CD69	12	9760901	0.645000	0.559000	0.314034	4.60895E-146	1.152573	0.00174949	12	10200353	10200853	1.730832	1.43795E-11	1.549009	0.00199295	0.999015	
CD4 Naive	CD74	5	150412936	0.599000	0.295000	0.347793	0	0.448582	0.00157931	5	150160255	150160755	-1.229316	0.0166391	-1.117870	0.0136732	0.95145	KLF1(0.88), 
CD4 Naive	CD74	5	150412936	0.599000	0.295000	0.347793	0	0.448582	0.00157931	5	150269176	150269676	-1.769103	0.000593916	-1.305703	0.0242201	0.983868	RELB(1.00), KLF4(0.92), KLF5(0.88), 
CD4 Naive	CD8B	2	86861924	0.221000	0.134000	0.310022	5.46984E-96	0.966692	0.000920021	2	86440549	86441049	0.742444	0.0245414	0.915175	0.0040656	0.996108	EGR1(1.00), SP2(0.87), KLF7(0.83), 
CD4 Naive	CDC42SE1	1	151059649	0.345000	0.454000	-0.158583	2.05376E-56	-0.709331	0.00875414	1	150611517	150612017	1.053094	5.52108E-09	0.788056	0.000465775	0.996995	NFE2(0.99), PURA(0.99), ZNF148(0.91), 
CD4 Naive	CDKN2D	19	10568979	0.375000	0.309000	0.202886	4.78002E-58	0.996341	9.35975E-06	19	10115267	10115767	1.658100	0.00793799	1.539170	0.000441683	0.999991	KLF15(0.96), KLF6(0.94), SMAD2(0.93), KLF1(0.89), 
CD4 Naive	CDKN2D	19	10568979	0.375000	0.309000	0.202886	4.78002E-58	0.996341	9.35975E-06	19	10234982	10235482	-2.178538	0.0397724	-2.277066	0.00129417	0.960925	SP6(0.95), ZNF219(0.88), 
CD4 Naive	CITED2	6	139374648	0.302000	0.224000	0.225350	3.74404E-76	0.513929	0.0197922	6	139375891	139376391	-0.469814	9.2933E-07	-0.690832	3.06141E-05	0.989313	KLF6(1.00), KLF16(1.00), KLF4(1.00), EGR1(0.99), KLF5(0.99), STAT6(0.97), SP1(0.94), ZBTB7A(0.85), 
